Time,Altitude,Speed,Drag,Drag x,Drag y,Drag z,Mass,Pitch,Heading,X Displacement,X Velocity,Y Velocity,Available Thrust Vertical,Available Thrust Horizontal,Thrust Vertical,Thrust Horizontal,Available Thrust,Thrust,Lift
2.1800000000475848,92.56142578448635,3.285251891611663,117.4628550235341,-117.46197900343495,-0.049165563139671055,0.4509785181138504,110725.1796875,89.9515380859375,270.38665771484375,0.5710935891838744,0.012687896447107907,3.2852273907024694,1373302.0087618914,1161.566530152251,1373301.5087620702,1161.5661072423204,1373302.5,1373302.0,0.8192739204428798
2.300000000050204,92.978878525435,3.6031572444883544,141.71043653665365,-141.70933689487305,-0.0427352877786605,0.5566272716026167,110671.34375,89.93743896484375,270.3834228515625,0.6806860041979235,0.014194564500685866,3.6031292847811534,1373303.9313477294,1499.5057297974781,1373303.556347953,1499.505320336542,1373304.75,1373304.375,0.9816660412058665
2.4200000000528235,93.4341634446755,3.9144831550616286,171.1288386777273,-171.12741355362135,-0.007447533005739552,0.6983567639171909,110617.5078125,89.93743896484375,270.48211669921875,0.8001567080500536,0.01597545602761149,3.91445055608906,1373306.3063463136,1499.5083230500743,1373305.931346537,1499.507913589138,1373307.125,1373306.75,0.9354734690137748
2.540000000055443,93.92633730638772,4.221070620453463,208.45537559629042,-208.45347669870407,0.05085604149886482,0.8883022438342228,110563.65625,89.93145751953125,270.8750305175781,0.9292234135500621,0.018016932375538044,4.221032169150474,1373308.7673183982,1642.8790229411245,1373308.267318756,1642.8784247952865,1373309.75,1373309.25,0.6961335751132202
2.660000000058062,94.45533533312846,4.528188035140686,253.1232839846422,-253.12075032579648,0.1160605747216377,1.1265787227802024,110509.8203125,89.93145751953125,271.57781982421875,1.0678524296090472,0.0202603238338853,4.528142709861231,1373311.642316341,1642.882462279694,1373311.1423166988,1642.8818641338557,1373312.625,1373312.125,0.37379718452852184
2.7800000000606815,95.02123367902823,4.835959199930489,307.5296996729951,-307.5263197305541,0.1891883345962515,1.4293570994029723,110455.9765625,89.93145751953125,272.5911560058594,1.216045584937092,0.022672925187852626,4.835906049734192,1373314.6423141942,1642.886051154723,1373314.142314552,1642.8854530088847,1373315.625,1373315.125,0.08686572061704435
2.900000000063301,95.62410850753076,5.144377517715865,374.62419906325846,-374.61969367941623,0.2717465797778616,1.8170814854190287,110402.140625,89.92340087890625,273.91656494140625,1.373804708244279,0.025229840685944617,5.144315649327849,1373317.6477200566,1835.9988879504149,1373317.1477205034,1835.9982194971806,1373318.875,1373318.375,0.2358300603358848
3.02000000006592,96.26403978292365,5.453457912901942,418.08452531661953,-418.07904793282313,0.33615092579973604,2.113525813027434,110348.296875,89.92086791992188,275.5552673339844,1.5411347741901409,0.02791515745376963,5.453386466387389,1373321.0652080106,1896.7159976924545,1373320.4402086067,1896.7151344956408,1373322.375,1373321.75,0.6970961199613243
3.1400000000685395,96.94117487361655,5.76443943917107,464.3996399825009,-464.392890177473,0.3948454610131566,2.472501881054491,110294.453125,89.91607666015625,277.4991760253906,1.7180399245407898,0.03107922479064935,5.764355656069227,1373324.5267928368,2011.5628826688223,1373323.9017935074,2011.561967207525,1373326.0,1373325.375,1.2709504815146089
3.260000000071159,97.65582102141343,6.078288605966993,514.1106680010998,-514.1023997631427,0.4448856023355457,2.881594543950369,110240.6171875,89.91607666015625,279.72406005859375,1.9045485384413041,0.034472497081925665,6.078190851262661,1373328.40178868,2011.5685585288659,1373327.7767893504,2011.5676430675685,1373329.875,1373329.25,1.936447523055221
3.380000000073778,98.40832794492599,6.394901607724673,567.4741034508639,-567.4641974505512,0.4926065989401167,3.316630504360906,110186.7734375,89.91607666015625,282.1984558105469,2.1007494548975956,0.03778532086967956,6.394789976379708,1373332.526784255,2011.5746005734286,1373331.7767850596,2011.5735020198717,1373334.0,1373333.25,2.717522738149405
3.5000000000763976,99.19899711676408,6.71388920508903,623.1594392426135,-623.1477962099309,0.5415768862640099,3.7706087507388966,110132.9375,89.91607666015625,284.8931884765625,2.306735100428341,0.0410412527678725,6.71376376362635,1373336.7767796959,2011.5808257102508,1373336.0267805005,2011.579727156694,1373338.25,1373337.5,3.6547628139899855
3.620000000079017,100.02809118048754,7.034939107538665,656.1258948922418,-656.1129108171267,0.5702039183022904,4.088162755299864,110079.09375,89.91152954101562,287.7811279296875,2.5225786060327664,0.04425732009315696,7.0347998931309395,1373341.1128059668,2120.578796323287,1373340.3628068608,2120.5776382481467,1373342.75,1373342.0,4.923251448016558
3.7400000000816362,100.89583844610024,7.357773722225823,694.9952747366455,-694.9808338221752,0.6031668669687437,4.439449946774571,110025.25,89.9072265625,290.8349609375,2.748345892847283,0.04743136153982278,7.357620839199266,1373345.5746690664,2223.725765995688,1373344.6996702135,2223.7243491946074,1373347.375,1373346.5,6.327701047527945
3.8600000000842556,101.80243576539215,7.68215703244131,741.8172946964304,-741.801211116054,0.6421291812959161,4.842475358817392,109971.4140625,89.903076171875,294.0296325683594,2.984092755243182,0.05058697544040239,7.681990473113284,1373350.2849767336,2323.2163883523162,1373349.5349778067,2323.215119622978,1373352.25,1373351.5,7.934655076165521
3.980000000086875,102.74805581162218,8.007892794800533,796.0270737591052,-796.0091533253762,0.6910279820071474,5.296457309337594,109917.5703125,89.91152954101562,297.3424072265625,3.2298670115706045,0.05373300675402812,8.007712518378982,1373355.737788532,2120.6013787885136,1373354.862789575,2120.60002770085,1373357.375,1373356.5,9.275583358925042
