Time,Altitude,Vertical Velocity,Horizontal Velocity,Total Velocity,Drag,Displacement
0,2.814577993181571,2.814577993181571,7.730594570336434e-16,2.814577993181571,0.0,7.730594570336434e-16
1,8.4932392123376,5.678661219156029,0.000800504243490366,5.678661275578398,128.0242157371623,0.000800504243491139
2,17.083592373064022,8.590353160726423,0.003225135212416699,8.59035376614372,520.5521388893609,0.004025639455907838
3,28.631221692798675,11.547629319734652,0.00811948845391468,11.547632174263612,1189.1818068757952,0.012145127909822518
4,43.17957102633848,14.548349333539806,0.016349842706452962,14.548358520742628,2143.9222296273797,0.02849497061627548
5,60.76984186373699,17.590270837398513,0.028801740645137918,17.59029441690209,3393.0282849069335,0.0572967112614134
6,81.44090680686226,20.671064943125263,0.04637845918671058,20.671116971377693,4942.854601887474,0.10367517044812398
7,105.22923997437674,23.78833316751448,0.06999939162419445,23.788436157164625,6797.732048593074,0.17367456207231843
8,132.16886558409345,26.939625609716703,0.10059836677273323,26.939813437050773,8959.870021175195,0.27427292884505167
9,162.29132573038942,30.12246014629596,0.13912193268485673,30.122781415024452,11429.287194206254,0.4133948615299084
10,195.62566811756872,33.3343423871793,0.18652763423498117,33.33486425567129,14203.77274675252,0.5999224957648895
11,232.1984542336852,36.57278611611648,0.24378231490097332,36.573598593962025,17278.879350206917,0.8437048106658629
12,272.03378816005556,39.83533392637039,0.31186047333413913,39.836554644952216,20647.948416795945,1.155565284000002
13,315.15336591673815,43.11957775668257,0.39174270478692674,43.12135721729254,24302.167291930196,1.5473079887869288
14,361.57654495109404,46.4231790343559,0.4844142561713975,46.425706336333135,28230.6572607199,2.0317222449583263
15,411.3204330926211,49.743888141527044,0.590863721494183,49.74739719195501,32420.590460844418,2.622585966452509
16,464.39999602965764,53.07956293703656,0.7120819017283894,53.08433914274147,36857.333080838944,3.3346678681808983
17,520.828182118799,56.42818608914132,0.8490608499391322,56.43457353110468,41524.61160183188,4.18372871812003
18,580.6160631216069,59.78788100280789,1.002793118797319,59.79629009265562,46404.698334251756,5.18652183691735
19,643.7729892800423,63.15692615843546,1.1742712236312167,63.16784177640327,51478.612125638225,6.360793060548566
20,710.30675699544,66.5337677153976,1.364487330019856,66.54775782909796,56726.32988150136,7.725280390568422
21,780.2237872679356,69.9170302724956,1.5744331707699186,69.93475503592106,62127.00445139569,9.29971356133834
22,853.5293129849262,73.30552571699057,1.8051001930755426,73.32774704947239,67659.18448352341,11.104813754413883
23,930.2275731180005,76.69826013307427,2.057479932863004,76.72585177835997,73301.03203361944,13.162293687276886
24,1010.322011896285,80.09443877828453,2.3325646098769535,80.12839684448716,79030.53401272147,15.49485829715384
25,1093.8154810677297,83.4934691714447,2.63134793405772,83.53492315333185,84825.70395471409,18.12620623121156
26,1180.7104434350772,86.89496236734752,2.954826111252762,86.9451866532615,90664.7710565148,21.081032342464322
27,1271.0091759560255,90.29873252094833,3.3039990343379557,90.3591583875629,96526.35396827088,24.385031376802278
28,1364.7139708228442,93.70479486681869,3.6798716444108863,93.7770229659265,102389.61736469239,28.064903021213166
